Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL,Price_numeric
Honda City 1.5L ASPIRE CVT 2021,9.7/10,89%,100%,100%,99%,100%,2021.0,"16,603 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-8131868,4950000.0
Hyundai Tucson FWD A/T GLS Sport 2022,9.7/10,92%,100%,100%,96%,100%,2022.0,"19,641 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-lahore-8150540,7500000.0
Changan Oshan X7 Comfort 2022,9.8/10,94%,100%,100%,97%,100%,2022.0,"28,345 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-peshawar-7932945,8500000.0
Daihatsu Boon 2019,9.8/10,94%,100%,100%,100%,100%,2019.0,"103,460 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/daihatsu-boon-2019-for-sale-in-peshawar-8075372,3750000.0
Suzuki Alto L 2021,9.7/10,90%,100%,100%,100%,100%,2021.0,"17,215 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-peshawar-8147740,3550000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2020,8.9/10,65%,100%,100%,96%,100%,2020.0,"75,794 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-rawalpindi-8133549,6100000.0
Toyota C-HR G-LED 2018,9.9/10,99%,100%,100%,94%,100%,2018.0,"49,875 km",Hybrid,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-gujranwala-8092596,8200000.0
Suzuki Cultus Auto Gear Shift 2021,9.6/10,92%,100%,100%,85%,100%,2021.0,"28,893 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-islamabad-8147067,3800000.0
KIA Sportage AWD 2021,9.4/10,82%,100%,96%,100%,100%,2021.0,"35,650 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-8144653,7600000.0
Toyota Fortuner 2.8 Sigma 4 2019,8.8/10,63%,100%,100%,93%,100%,2019.0,"30,940 km",Diesel,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-lahore-8061338,13799999.999999998
